Year|Prov|Grade|Group|Tot|Grads|Perc
91/92| Prov |01|ALL|47032|45482|97
91/92| Prov |01|FEM|22960|22246|97
91/92| Prov |01|MAL|24072|23236|97
91/92| Prov |01|AB|2060|1930|94
91/92| Prov |01|XAB|44972|43552|97
91/92| Prov |01|ELL|4127|3959|96
91/92| Prov |01|FRI|2954|2888|98
91/92| Prov |01|SN|0|0|
91/92| Prov |02|ALL|45395|44243|97
91/92| Prov |02|FEM|21951|21390|97
91/92| Prov |02|MAL|23444|22853|97
91/92| Prov |02|AB|2097|2012|96
91/92| Prov |02|XAB|43298|42231|98
91/92| Prov |02|ELL|3938|3785|96
91/92| Prov |02|FRI|2628|2574|98
91/92| Prov |02|SN|0|0|
91/92| Prov |03|ALL|47307|45331|96
91/92| Prov |03|FEM|22822|21957|96
91/92| Prov |03|MAL|24485|23374|95
91/92| Prov |03|AB|2282|2110|92
91/92| Prov |03|XAB|45025|43221|96
91/92| Prov |03|ELL|3695|3439|93
91/92| Prov |03|FRI|2919|2858|98
91/92| Prov |03|SN|0|0|
91/92| Prov |04|ALL|46199|44632|97
91/92| Prov |04|FEM|22309|21670|97
91/92| Prov |04|MAL|23890|22962|96
91/92| Prov |04|AB|2235|2072|93
91/92| Prov |04|XAB|43964|42560|97
91/92| Prov |04|ELL|3175|3009|95
91/92| Prov |04|FRI|2806|2770|99
91/92| Prov |04|SN|0|0|
91/92| Prov |05|ALL|44640|43215|97
91/92| Prov |05|FEM|21843|21215|97
91/92| Prov |05|MAL|22797|22000|97
91/92| Prov |05|AB|2040|1911|94
91/92| Prov |05|XAB|42600|41304|97
91/92| Prov |05|ELL|2994|2840|95
91/92| Prov |05|FRI|2615|2576|99
91/92| Prov |05|SN|0|0|
91/92| Prov |06|ALL|43616|42245|97
91/92| Prov |06|FEM|21293|20696|97
91/92| Prov |06|MAL|22323|21549|97
91/92| Prov |06|AB|1927|1812|94
91/92| Prov |06|XAB|41689|40433|97
91/92| Prov |06|ELL|2796|2663|95
91/92| Prov |06|FRI|3052|3002|98
91/92| Prov |06|SN|0|0|
