School Year,Data Level,Public Or Independent,District Number,District Name,Mincode,School Name,Num Of Schools In Data Level,Total Classes,Classes With Ed Assist,Total Classes Greater 30,Avg Class Size K,Avg Class Size 1 3,Avg Class Size 4 7,Avg Class Size 8 12
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501006,Sparwood Secondary,1,62,20,1,,,,21.8
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501006,Sparwood Secondary,1,65,15,3,,,,20.6
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,40,10,,17,20,23.1,15.3
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,39,7,,13,19.5,24.8,14.7
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,32,8,,11,21.7,21.4,12.8
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,37,1,,16,18,22,12.3
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,40,1,,17,21.5,20.9,11.5
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,43,1,,16,18.6,18.7,12.7
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,40,8,,15,16,19.1,13.5
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,42,9,,15,17,18,15.5
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,1,41,4,,21.3,19.4,14.1,10.7
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501008,Grasmere Elementary,1,1,,,9,9,,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501008,Grasmere Elementary,1,1,,,,8,8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501008,Grasmere Elementary,1,1,,,11,11,11,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501008,Grasmere Elementary,1,1,,,13,13,13,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501008,Grasmere Elementary,1,1,,,,7,7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,9,9,,19,22.3,22.6,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,13,10,,14.5,21.9,26.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,13,5,,14,20.6,21.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,13,10,,14,20.6,20.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,13,,,14.7,21.7,23.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,14,13,,17.3,22.1,24.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,15,15,,18.3,21.7,23.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,16,9,,19.3,21.4,24.1,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501009,Isabella Dicken Elementary,1,17,12,,20.3,21.1,24.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,8,8,,22,20,22,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,9,8,,19,20.4,26,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,15,15,,18,20.1,25,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,16,14,,16,18.9,23.2,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,14,,,16.3,22,25.6,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,15,13,,20,20,22.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,15,13,,17.3,20.6,26.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,15,11,,21.3,21.3,25.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,1,15,13,,20.6,22.2,26.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501014,Mountain View Elementary,1,9,9,,22,21,27,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501014,Mountain View Elementary,1,9,7,,21,22.3,24,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501015,Max Turyk Elementary,1,6,4,,8,16,23,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501016,Elkford Secondary,1,65,4,1,,,,13.6
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,6,,19.5,21.4,27.1,
